ID,NPC,CODIGO,ORIGINAL,TIPO DECOMPONENTE,TIPO DE COMPONENTE GENERAL,MARCA,MARCA REFACCION,PROVEEDOR,DESCRIPCION,PRECIODE LISTA
1,07141C,BEMCH001,82207707141,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,VOYAGER [GRAND]%%% CARAVAN%%% TOWN & COUNTRY 2.4L%%% 3.0L%%% 3.3L%%% 3.8L 96-00,1123.03
2,07133C,BEMCH002,82207707133,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,VOYAGER [GRAND]%%% CARAVAN%%% TOWN & COUNTRY 2.4L%%% 3.0L%%% 3.3L%%%  90-95,1096.68
3,07137C,BEMCH003,82207707137,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,STRATUS%%% CIRRUS 2.0L%%% 2.4L%%% 2.5L 95-97 SEBRING 2.4L%%%2.5L 96-99,1329.91
4,06721C,BEMCH004,2715CHBEC357,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,RAM1500%%% 2500%%%3500 V6 98-01 V8 Y V10 98-02 (34 GAL),1957.76
5,06722C,BEMCH005,2715CHBEC380,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,NEON (TANQUE METALICO) DOHC%%% SOHC  2.0L 95-97,1174.55
6,06720C,BEMCH006,2715CHBEC197,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,SHADOW%%% SPIRIT%%% DAYTONA%%% LEBARON%%% NEW YORKER L4%%% V6 91-95,950.2
7,07143C,BEMCH007,82207707143,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,NEON (TANQUE PLASTICO)%%% DOHC%%% SOHC  2.0L 96-99,1930.29
8,07158C,BEMCH008,82207707158,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,STRATUS%%% CIRRUS 2.0L%%% 2.4L%%% 2.5L 98-00 SEBRING 2.5L 99-00,1449.6
9,07160C,BEMCH010,82207707160,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,NEON (DOHC%%%SOHC) 2.0L 2000,1590.53
10,07154C,BEMCH011,82207707154,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,DURANGO 3.9L%%% 4.7L%%% 5.2L%%% 5.9L 98-03,1627.82
11,07153C,BEMCH012,82207707153,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,RAM1500%%% 2500%%%3500 V6 98-01 V8 Y V10 98-02 (35 GAL),1772.86
12,07149C,BEMCH013,82207707149,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,CONCORDE%%%INTREPID%%%300M%%%LHS V6 98-99,2107.07
13,07138C,BEMCH014,82207707138,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,RAM1500%%% 2500%%% 3500 V6%%% V8%%% V10 96-97,1956.37
14,07159C,BEMCH015,82207707159,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,CONCORDE%%% INTREPID%%% 300M%%% LHS V6 00-04,3306.12
