ID,NPC,CODIGO,ORIGINAL,AIRTEX,CARTER,KEM,WALBRO,PFP,DELPHI,STD,WELLS,TOMCO,TRANSPO,WAI,BOSCH,UNIPOINT,VALEO,INTERFIL,NUMERO,PRESENTACION,TIPO,SUB TIPO,EMBALAJE,OE / OTRO,TIPO DECOMPONENTE,TIPO DE COMPONENTE GENERAL,MARCA,MARCA REFACCION,PROVEEDOR,DESCRIPCION,PRECIODE LISTA,PRECIO DE COMPRA,,,,A                    0%,B                    10%,C                   15%,D                    17.55%,E                    18.4%,F                    19.25%,G                    23.5%,PRECIO PROMOCION,PRECIO PROMOCION,CONDICION DE COMPRA
1,07141C,BEMCH001,82207707141,E7094M,P74706M,7635-E,TU117,,FG0215,,,,,,,,,,,,,,, | F00E190647 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,VOYAGER [GRAND]%%% CARAVAN%%% TOWN & COUNTRY 2.4L%%% 3.0L%%% 3.3L%%% 3.8L 96-00,1123.03,920.8846,810.378448,729.3406032,729.3406032,1458.681206,1312.813086,1239.879025,1202.682655,1190.283864,1177.885074,1115.891123,,,
2,07133C,BEMCH002,82207707133,E7030M%%% E7077M,P74634M,7633-E%%% 7634-E,TU100,,FG0195,,,,,,,,,,,,,,, | F00E190583 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,VOYAGER [GRAND]%%% CARAVAN%%% TOWN & COUNTRY 2.4L%%% 3.0L%%% 3.3L%%%  90-95,1096.68,899.2776,791.364288,712.2278592,712.2278592,1424.455718,1282.010147,1210.787361,1174.46374,1162.355866,1150.247993,1089.708625,,,
3,07137C,BEMCH003,82207707137,E7089M,P74693M,7693-E,TU111,,FG0203,,,,,,,,,,,,,,, | 67639 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,STRATUS%%% CIRRUS 2.0L%%% 2.4L%%% 2.5L 95-97 SEBRING 2.4L%%%2.5L 96-99,1329.91,1090.5262,959.663056,863.6967504,863.6967504,1727.393501,1554.654151,1468.284476,1424.235941,1409.553097,1394.870252,1321.456028,,,
4,06721C,BEMCH004,2715CHBEC357,E7138M,P74735M,7213-E,TU139,,FG0227,,,,,,,,,,,,,,, | F00E192215 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,RAM1500%%% 2500%%%3500 V6 98-01 V8 Y V10 98-02 (34 GAL),1957.76,1605.3632,1412.719616,1271.447654,1271.447654,2542.895309,2288.605778,2161.461012,2096.617182,2075.002572,2053.387962,1945.314911,,,
5,06722C,BEMCH005,2715CHBEC380,E7075M,P74676M,7910-E,TU106,,FG0201,,,,,,,,,,,,,,, | F00E190625 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,NEON (TANQUE METALICO) DOHC%%% SOHC  2.0L 95-97,1174.55,963.131,847.55528,762.799752,762.799752,1525.599504,1373.039554,1296.759578,1257.856791,1244.889195,1231.921599,1167.083621,,,
6,06720C,BEMCH006,2715CHBEC197,E7040M,P74629H,7670-E,TU101,,FG0196,,,,,,,,,,,,,,, | 4495002 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,SHADOW%%% SPIRIT%%% DAYTONA%%% LEBARON%%% NEW YORKER L4%%% V6 91-95,950.2,779.164,685.66432,617.097888,617.097888,1234.195776,1110.776198,1049.06641,1017.594417,1007.103753,996.6130891,944.1597686,,,
7,07143C,BEMCH007,82207707143,E7097M,P74732M,7011-E,TU119,,FG0231,,,,,,,,,,,,,,, | 4495871 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,NEON (TANQUE PLASTICO)%%% DOHC%%% SOHC  2.0L 96-99,1930.29,1582.8378,1392.897264,1253.607538,1253.607538,2507.215075,2256.493568,2131.132814,2067.19883,2045.887501,2024.576173,1918.019533,,,
8,07158C,BEMCH008,82207707158,E7113M,P74802M,7694-E,TU144,,FG0228,,,,,,,,,,,,,,, | 67653 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,STRATUS%%% CIRRUS 2.0L%%% 2.4L%%% 2.5L 98-00 SEBRING 2.5L 99-00,1449.6,1188.672,1046.03136,941.428224,941.428224,1882.856448,1694.570803,1600.427981,1552.415141,1536.410862,1520.406582,1440.385183,,,
9,07160C,BEMCH010,82207707160,E7130M,P74824M,7212-E,TU147,,FG0280,,,,,,,,,,,,,,, | F00E192205 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,NEON (DOHC%%%SOHC) 2.0L 2000,1590.53,1304.2346,1147.726448,1032.953803,1032.953803,2065.907606,1859.316846,1756.021465,1703.340821,1685.780607,1668.220392,1580.419319,,,
10,07154C,BEMCH011,82207707154,E7117M,P74803M,7654-E,TU140,,FG0238,,,,,,,,,,,,,,, | F00E190675 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,DURANGO 3.9L%%% 4.7L%%% 5.2L%%% 5.9L 98-03,1627.82,1334.8124,1174.634912,1057.171421,1057.171421,2114.342842,1902.908557,1797.191415,1743.275673,1725.303759,1707.331845,1617.472274,,,
