ID,NPC,CODIGO,ORIGINAL,AIRTEX,CARTER,KEM,WALBRO,PFP,DELPHI,STD,WELLS,TOMCO,TRANSPO,WAI,BOSCH,UNIPOINT,VALEO,INTERFIL,NUMERO,PRESENTACION,TIPO,SUB TIPO,EMBALAJE,OE / OTRO,TIPO DECOMPONENTE,TIPO DE COMPONENTE GENERAL,MARCA,MARCA REFACCION,PROVEEDOR,DESCRIPCION,PRECIODE LISTA
1,07141C,BEMCH001,82207707141,E7094M,P74706M,7635-E,TU117,,FG0215,,,,,,,,,,,,,,, | F00E190647 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"VOYAGER [GRAND], CARAVAN, TOWN & COUNTRY 2.4L, 3.0L, 3.3L, 3.8L 96-00",1123.03
2,07133C,BEMCH002,82207707133,"E7030M, E7077M",P74634M,"7633-E, 7634-E",TU100,,FG0195,,,,,,,,,,,,,,, | F00E190583 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"VOYAGER [GRAND], CARAVAN, TOWN & COUNTRY 2.4L, 3.0L, 3.3L,  90-95",1096.68
3,07137C,BEMCH003,82207707137,E7089M,P74693M,7693-E,TU111,,FG0203,,,,,,,,,,,,,,, | 67639 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"STRATUS, CIRRUS 2.0L, 2.4L, 2.5L 95-97 SEBRING 2.4L,2.5L 96-99",1329.91
4,06721C,BEMCH004,2715CHBEC357,E7138M,P74735M,7213-E,TU139,,FG0227,,,,,,,,,,,,,,, | F00E192215 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"RAM1500, 2500,3500 V6 98-01 V8 Y V10 98-02 (34 GAL)",1957.76
5,06722C,BEMCH005,2715CHBEC380,E7075M,P74676M,7910-E,TU106,,FG0201,,,,,,,,,,,,,,, | F00E190625 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"NEON (TANQUE METALICO) DOHC, SOHC  2.0L 95-97",1174.55
6,06720C,BEMCH006,2715CHBEC197,E7040M,P74629H,7670-E,TU101,,FG0196,,,,,,,,,,,,,,, | 4495002 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"SHADOW, SPIRIT, DAYTONA, LEBARON, NEW YORKER L4, V6 91-95",950.2
7,07143C,BEMCH007,82207707143,E7097M,P74732M,7011-E,TU119,,FG0231,,,,,,,,,,,,,,, | 4495871 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"NEON (TANQUE PLASTICO), DOHC, SOHC  2.0L 96-99",1930.29
8,07158C,BEMCH008,82207707158,E7113M,P74802M,7694-E,TU144,,FG0228,,,,,,,,,,,,,,, | 67653 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"STRATUS, CIRRUS 2.0L, 2.4L, 2.5L 98-00 SEBRING 2.5L 99-00",1449.6
9,07160C,BEMCH010,82207707160,E7130M,P74824M,7212-E,TU147,,FG0280,,,,,,,,,,,,,,, | F00E192205 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"NEON (DOHC,SOHC) 2.0L 2000",1590.53
10,07154C,BEMCH011,82207707154,E7117M,P74803M,7654-E,TU140,,FG0238,,,,,,,,,,,,,,, | F00E190675 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"DURANGO 3.9L, 4.7L, 5.2L, 5.9L 98-03",1627.82
11,07153C,BEMCH012,82207707153,E7111M,P74734M,7214-E,TU138,,FG0236,,,,,,,,,,,,,,," | F00E190665, 4897667AF | ",BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"RAM1500, 2500,3500 V6 98-01 V8 Y V10 98-02 (35 GAL)",1772.86
12,07149C,BEMCH013,82207707149,E7137M,P74819M,7663-E,TU132,,FG0232,,,,,,,,,,,,,,," | 67663, F00E190687 | ",BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"CONCORDE,INTREPID,300M,LHS V6 98-99",2107.07
13,07138C,BEMCH014,82207707138,E7093M,P74710M,7003-E,TU114,,FG0212,,,,,,,,,,,,,,," | 67641, F00E190645 | ",BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"RAM1500, 2500, 3500 V6, V8, V10 96-97",1956.37
14,07159C,BEMCH015,82207707159,E7152M,P74823M,7664-E,TU145,,FG0279,,,,,,,,,,,,,,, | F00E192193 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"CONCORDE, INTREPID, 300M, LHS V6 00-04",3306.12
15,10264C,BEMCH016,82207710264,E7100M,P74698M,,,,FG0368,,,,,,,,,,,,,,, | 67647 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"B100, 150-350VAN, B1500-3500VAN 1996",2112.38
16,11939C,BEMCH017,82207711939,E7099M,P74708M,,TU131,,FG0225,,,,,,,,,,,,,,," | 67646, F00E190655 | ",BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"GRAND CHEROKEE 4.0L L6, 5.2L V8 1996",1440.95
17,07134C,BEMCH018,82207707134,"E7041M, E7040M",P74631H,E7670-E,TU102,,FG0196,,,,,,,,,,,,,,, | F00E190597 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"SPIRIT, LEBARON [TURBO], DAYTON 2.2L 91-93",784.57
18,08949C,BEMCH019,82207708949,,,,,,,,,,,,,,,,,,,,,3111002000 |  | 3111005000,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,ATOS BY DODGE 1.0L 00-04,883.66
19,07156C,BEMCH020,82207707156,E7123M,P74800E,7091-E,TU142,,FG0278,,,,,,,,,,,,,,, | F00E190681 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"RAM1500, 2500, 3500 VAN 98-03 (35 GAL)",1689.24
20,05038C,BEMCH021,2715CHBEC420,E7065M,P74673M,7086-E,TU120,,FG0219,,,,,,,,,,,,,,, | F00E190095 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"R1500, 2500, 3500 V6, V8, V10 94-95",1631.48
21,07147C,BEMCH022,82207707147,E7047M,P74657M,,TU124,,FG0372,,,,,,,,,,,,,,, | F00E190601 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"D100-350, W100-350, RAMCHARGER 91-93; TU124",1287.88
22,07150C,BEMCH023,82207707150,E7104M,P74737M,7095-E,TU133,,FG0233,,,,,,,,,,,,,,,4897495AA /AB /AC |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"B1500, 3500 3.9L, 5.2L, 5.9L 1997",1984.4
23,07144C,BEMCH024,82207707144,E7048M,P74655M,,TU121,,FG0220,,,,,,,,,,,,,,, | F00E190615 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"RAM CHARGER 5.2L, 5.9L 91-93",1818.89
24,07136C,BEMCH025,82207707136,E7086M,"P74695M, P74682M",7086E,TU107,,FG0202,,,,,,,,,,,,,,, | 67636 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"RAM1500, 2500, 3500 V6, V8, V10 1995",1938
25,07155C,BEMCH026,82207707155,E7124M,P74740M,7090-E,TU141,,FG0239,,,,,,,,,,,,,,, | F00E193918 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"VAN V6,V8  98-02 (31 Y 32 GAL)",1845.71
26,07152C,BEMCH027,82207707152,E7116M,P74738M,7224-E,TU137,,FG0235,,,,,,,,,,,,,,, | F00E190673 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"DAKOTA 2.5L, 3.9L, 5.2L, 5.9L 97-02 (22 GAL)",1968.98
27,05041C,BEMCH028,2715CHBEC607,E7074H,P74501H,"7274-EH, 222-E",,,,,,,,,,,,,,,,,, | 67630 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"VOYAGER (GRAND) 2.2L, 2.5L, 3.0L 87-90; P74501H",1073.8
28,07151C,BEMCH029,82207707151,E7114M,P74739M,7223-E,TU136,,FG0234,,,,,,,,,,,,,,, | F00E190669 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"DAKOTA 2.5L, 3.9L, 5.2L, 5.9L 97-99 (15 GAL)",1757.82
29,07148C,BEMCH030,82207707148,E7063M,P74658M,7263E,TU125,,FG0209,,,,,,,,,,,,,,, | F00E190093 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"B100-3500VAN, RAM1500-3500, VAN V6,V8 90-95",1662.08
30,07145C,BEMCH031,82207707145,E7062M,P74675M,EFP-1702,TU122,,FG0224,,,,,,,,,,,,,,, | F00E190091 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"DAKOTA  3.9L,5.2L (C/M CARTER) 94-95",1741.9
31,07140C,BEMCH032,82207707140,E7095M,P74711M,EFP-1606,TU116,,FG0214,,,,,,,,,,,,,,, | F00E190649 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"DAKOTA 2.5L, 3.9L, 5.2L (22 GAL) 1996",1688
32,07146C,BEMCH033,82207707146,E7049M,P74653M,7653-E,TU123,,FG0221,,,,,,,,,,,,,,," | 67613, F00E190087 | ",BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"B100, 150 ,200, 250, 300, 350 VAN V6,V8 91-93",1191.75
33,05037C,BEMCH034,2715CHBEC419,E7071H,P74502H,7852-E,,,,,,,,,,,,,,,,,, | 67627 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"MAGNUM, PHANTOM, SHADOW, LEBARON 84-90",1041.28
34,07139C,BEMCH035,82207707139,E7096M,P74711M,,TU115,,FG0213,,,,,,,,,,,,,,, | F00E190651 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"DAKOTA 2.5L, 3.9L, 5.2L 1996 (15GAL)",1747.38
35,13920C,BEMCH036,82207713920,E7087M,P74697M,7671-E,TU130,,FG0377,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"GRAND CHEROKEE 4.0L,5.2L 1995",1510.76
36,07135C,BEMCH037,82207707135,E7054M,P74662M,7662-E,TU105,,FG0200,,,,,,,,,,,,,,, | 67616 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"INTREPID, CONCORDE, NEW YORKER V6 93-95",1373.74
37,07142C,BEMCH038,82207707142,E7101M,P74707M,7665-E,TU118,,FG0230,,,,,,,,,,,,,,, | 67648 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"INTREPID, CONCORDE 3.3L, 3.5L 96-97",1204.66
38,07392C,BEMCH039,82207707392,E7121MN,P75040M,7669-E,,,,,,,,,,,,,,,,,, | 67658 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"CHEROKEE 2.5L, 4.0L 97-01 ",1613.15
39,13919C,BEMCH040,82207713919,E7055M,P74663M,7666-E,TU129,,FG0222,,,,,,,,,,,,,,, | F00E190609 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"GRAND CHEROKEE 4.0L , 5.2L 92-94",1237.62
40,13921C,BEMCH041,82207713921,E7141M,P75025M,7695-E,TU146,,FG0420,,,,,,,,,,,,,,, | F00E192191 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"STRATUS, SEBRING 2.4L, 2.7L 01-02",1910.99
41,13922C,BEMCH042,82207713922,E7143M,P75024M,7655-E,TU148,,FG0373 ,,,,,,,,,,,,,,, | F00E192197 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PT CRUISER 2.4L 01-04; PT CRUISER 2.4 TURBO 03-04,1398.26
42,13924C,BEMCH044,82207713924,E7161M,P75028M,7215-E,TU151,,FG0423,,,,,,,,,,,,,,, | F00E192624 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,R1500 3.7L Y 4.7L 02-03 (26 GAL),1862.32
43,13925C,BEMCH045,82207713925,E7144M,P75026M,7636-E,TU153,,FG0425,,,,,,,,,,,,,,, | F00E192195 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"VOYAGER [GRAND], CARAVAN, TOWN & COUNTRY 2.4L, 3.0L, 3.3L, 3.8L 01-03",1401.41
44,13926C,BEMCH046,82207713926,E7142M,P75027M,7012-E,TU154,,FG0426,,,,,,,,,,,,,,, | F00E192203 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"NEON 2.0L, 2.4L 01-05",1615.41
45,13927C,BEMCH047,82207713927,E7167M,P75032M,7696-E,TU155,,FG0427,,,,,,,,,,,,,,, | F00E192594 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"STRATUS 2.4L 03-06, CIRRUS 2.4L Y 2.7L 03-06",2164.47
46,13928C,BEMCH048,82207713928,E7050M,P74654M,7225-E,TU157,,FG0206,,,,,,,,,,,,,,, | F00E190089 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"DAKOTA 2.5L 91-96 V6,V8 91-93 (C/M CARTER)",1360.34
47,13929C,BEMCH049,82207713929,E7142M,P76227M,7013-E,TU158,,FG0430,,,,,,,,,,,,,,, | F00E193353 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,NEON 2.4L TURBO 03-05 SRT-4,1559.6
48,13934C,BEMCH051,82207713934,E7191M,P76096M,7655-E,TU173,,,,,,,,,,,,,,,,, | F00E193309 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PT CRUISER 2.4L TURBO 03-04,1262.95
49,13935C,BEMCH052,82207713935,E7223M,P76222M,7637-E,TU176,,FG0510,,,,,,,,,,,,,,, | F00E193359 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"CARAVAN, GRAND CARAVAN 3.3L 04-07 FLEX FUEL",2372.73
50,14440C,BEMCH053,82207714440,E7165M,P76259M,7218-E,,,FG0474,,,,,,,,,,,,,,, | 67715 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"SERIE RAM 3.7L, 4.7L 04-07 R1500 5.7L 04-08 R2500 5.7L 06-09 R3500 5.7L 08-09",1527.74
51,BEMCH054C,34372,,E7127MN,P75041M,7668-E,,,FE0393,,,,,,,,,,,,,,, | 67662 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,GRAND CHEROKEE 4.0L 4.7L 99-04,1264.79
52,37373C,BEMCH057,,E7186M,P76259M,,,,FG0817,,,,,,,,,,,,,,,5104694AB |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,RAM 1500 2500 3.7L & 5.7L 26 GAL 04-06    ,2550.99
53,38377C,BEMCH059,,E7190M,P76097M,7658-E,TU162,,FG0927,,,,,,,,,,,,,,, | F00E193337 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PT CRUISER 4CIL 2.4L 04-09 ,1514.46
54,38378C,BEMCH060,,E7189M,P76095M,7656-E,TU163,,FE0416,,,,,,,,,,,,,,, | F00E193339 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PT CRUISER 4CIL 2.4L 04-09 ,1652.5
55,38379C,BEMCH061,,E7195M,,,TU182,,,,,,,,,,,,,,,,, | F00E193949 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,GRAND CARAVAN V6 3.3L 06-07   ,1945.74
56,38383C,BEMCH065,,E7197M,P76067M,7672-E,TU171,,FG0843,,,,,,,,,,,,,,, | F00E193381 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,GRAND CHEROKEE COMMANDER 05-10 ,1976.7
57,38384C,BEMCH066,,E7199M,P76100M,7220-E,TU170,,FG0929,,,,,,,,,,,,,,, | F00E193377 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,LIBERTY 4CIL 2005 V6 3.7L 05-07,2098.97
58,38385C,BEMCH067,,E7200M,P76521M,7221-E,TU172,,FG0924,,,,,,,,,,,,,,, | F00E193385 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,WRANGLER 4-6CIL 2.4L 4.0L 05-06,1950.67
